Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Campaign_report,Chrome 120.0.0.0,,,18-01-2024 14:55:33,18-01-2024 15:16:30,20m - 57.171s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_verify_navigating_campaign_report,Chrome 120.0.0.0,,,18-01-2024 14:55:33,18-01-2024 14:55:44,10.810s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Login""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 14:55:34,18-01-2024 14:55:40,5.846s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/li_Campaign""))",Chrome 120.0.0.0,,,18-01-2024 14:55:40,18-01-2024 14:55:42,2.650s,PASSED
"click(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/li_Campaign""))",Chrome 120.0.0.0,,,18-01-2024 14:55:42,18-01-2024 14:55:43,0.351s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/p_Campaign Analytics""), ""Campaign Analytics"")",Chrome 120.0.0.0,,,18-01-2024 14:55:43,18-01-2024 14:55:44,1.375s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/p_Campaign Analytics""), 0)",Chrome 120.0.0.0,,,18-01-2024 14:55:44,18-01-2024 14:55:44,0.301s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_tab,Chrome 120.0.0.0,,,18-01-2024 14:55:44,18-01-2024 14:55:48,3.553s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Metrics_Tab/Page_/div_Campaign Metrics""), ""Campaign Metrics"")",Chrome 120.0.0.0,,,18-01-2024 14:55:44,18-01-2024 14:55:45,0.345s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Metrics_Tab/Page_/div_Campaign Metrics""), 0)",Chrome 120.0.0.0,,,18-01-2024 14:55:45,18-01-2024 14:55:45,0.320s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Metrics_Tab/Page_/div_Campaign Metrics""))",Chrome 120.0.0.0,,,18-01-2024 14:55:45,18-01-2024 14:55:45,0.368s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_Metrics_Tab/Page_/div_Campaign Metrics""))",Chrome 120.0.0.0,,,18-01-2024 14:55:45,18-01-2024 14:55:46,0.406s,PASSED
delay(2),Chrome 120.0.0.0,,,18-01-2024 14:55:46,18-01-2024 14:55:48,2.032s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_calender,Chrome 120.0.0.0,,,18-01-2024 14:55:48,18-01-2024 14:56:56,1m - 8.700s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 14:55:48,18-01-2024 14:56:20,31.774s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 14:56:20,18-01-2024 14:56:52,31.873s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 14:56:52,18-01-2024 14:56:52,0.426s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 14:56:52,18-01-2024 14:56:53,0.500s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 14:56:53,18-01-2024 14:56:53,0.443s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 14:56:53,18-01-2024 14:56:54,0.994s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 14:56:54,18-01-2024 14:56:55,0.946s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/div_1""))",Chrome 120.0.0.0,,,18-01-2024 14:56:55,18-01-2024 14:56:56,1.023s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_Metrics_calender/Page_/div_31""))",Chrome 120.0.0.0,,,18-01-2024 14:56:56,18-01-2024 14:56:56,0.580s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_verify_channel,Chrome 120.0.0.0,,,18-01-2024 14:56:56,18-01-2024 14:56:59,2.915s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Channel/Page_/div_Select Channel""), 0)",Chrome 120.0.0.0,,,18-01-2024 14:56:57,18-01-2024 14:56:57,0.752s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Channel/Page_/div_Select Channel""), ""Select Channel"")",Chrome 120.0.0.0,,,18-01-2024 14:56:57,18-01-2024 14:56:58,0.425s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Channel/Page_/span_ng-arrow-wrapper""))",Chrome 120.0.0.0,,,18-01-2024 14:56:58,18-01-2024 14:56:58,0.411s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Channel_dropdown_verify""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 14:56:58,18-01-2024 14:56:59,1.208s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_select_channel_dropdown,Chrome 120.0.0.0,,,18-01-2024 14:56:59,18-01-2024 14:58:40,1m - 40.217s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Select_Channel_dropdown""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 14:57:00,18-01-2024 14:58:40,1m - 40.114s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_verify_businessline,Chrome 120.0.0.0,,,18-01-2024 14:58:40,18-01-2024 14:58:42,2.412s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Businessline/Page_/div_Select Businessline""), ""Select Businessline"")",Chrome 120.0.0.0,,,18-01-2024 14:58:40,18-01-2024 14:58:40,0.335s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Businessline/Page_/div_Select Businessline""), 0)",Chrome 120.0.0.0,,,18-01-2024 14:58:40,18-01-2024 14:58:40,0.330s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Businessline/Page_/span_ng-arrow-wrapper""))",Chrome 120.0.0.0,,,18-01-2024 14:58:40,18-01-2024 14:58:41,0.402s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Businessline_dropdown_verify""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 14:58:41,18-01-2024 14:58:42,1.206s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_select_businessline_dropdown,Chrome 120.0.0.0,,,18-01-2024 14:58:42,18-01-2024 14:59:49,1m - 7.156s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Select_Businessline_Dropdown""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 14:58:42,18-01-2024 14:59:49,1m - 7.062s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_verify_status,Chrome 120.0.0.0,,,18-01-2024 14:59:49,18-01-2024 14:59:53,3.877s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Status/Page_/div_Select Campaign Status""), ""Select Campaign Status"")",Chrome 120.0.0.0,,,18-01-2024 14:59:49,18-01-2024 14:59:50,0.334s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Status/Page_/div_Select Campaign Status""), 0)",Chrome 120.0.0.0,,,18-01-2024 14:59:50,18-01-2024 14:59:50,0.308s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_Conversions_Verify_Status/Page_/span_ng-arrow-wrapper""))",Chrome 120.0.0.0,,,18-01-2024 14:59:50,18-01-2024 14:59:50,0.360s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Campaign_status_dropdown_verify""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 14:59:50,18-01-2024 14:59:53,2.660s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_metrics_select_status_dropdown,Chrome 120.0.0.0,,,18-01-2024 14:59:53,18-01-2024 15:02:39,2m - 45.980s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Select_Status_Dropdown""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 14:59:53,18-01-2024 15:02:39,2m - 45.799s,PASSED
,,,,,,,
