Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"executeJavaScript(""document.exitFullscreen();"", null)",Chrome 120.0.0.0,,,17-01-2024 15:52:42,17-01-2024 15:52:42,0.069s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 15:52:42,17-01-2024 15:52:44,2.018s,PASSED
,,,,,,,
Test Cases/Spend_Report/test_monthly_zoom,Chrome 120.0.0.0,,,17-01-2024 15:52:44,17-01-2024 15:52:50,6.085s,PASSED
"click(findTestObject(""Object Repository/Page_Monthly_Zoom/Page_/div_Monthly Spend Report""))",Chrome 120.0.0.0,,,17-01-2024 15:52:44,17-01-2024 15:52:45,0.409s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Monthly_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 15:52:45,17-01-2024 15:52:46,1.072s,PASSED
"click(findTestObject(""Object Repository/Page_Monthly_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 15:52:46,17-01-2024 15:52:46,0.360s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 15:52:46,17-01-2024 15:52:48,2.015s,PASSED
"executeJavaScript(""document.exitFullscreen();"", null)",Chrome 120.0.0.0,,,17-01-2024 15:52:48,17-01-2024 15:52:48,0.072s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 15:52:48,17-01-2024 15:52:50,2.004s,PASSED
,,,,,,,
Test Cases/Spend_Report/test_daily_zoom,Chrome 120.0.0.0,,,17-01-2024 15:52:50,17-01-2024 15:52:56,6.065s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Zoom/Page_/div_Daily Spend Report""))",Chrome 120.0.0.0,,,17-01-2024 15:52:50,17-01-2024 15:52:51,0.432s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Daily_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 15:52:51,17-01-2024 15:52:52,1.032s,PASSED
"click(findTestObject(""Object Repository/Page_Daily_Zoom/Page_/img""))",Chrome 120.0.0.0,,,17-01-2024 15:52:52,17-01-2024 15:52:52,0.357s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 15:52:52,17-01-2024 15:52:54,2.018s,PASSED
"executeJavaScript(""document.exitFullscreen();"", null)",Chrome 120.0.0.0,,,17-01-2024 15:52:54,17-01-2024 15:52:54,0.061s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 15:52:54,17-01-2024 15:52:56,2.007s,PASSED
