Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/h1_0""))",Chrome 120.0.0.0,,,17-01-2024 16:10:01,17-01-2024 16:10:02,1.106s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_achievement""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:10:02,17-01-2024 16:10:02,0.354s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_achievement""), ""% achievement"")",Chrome 120.0.0.0,,,17-01-2024 16:10:02,17-01-2024 16:10:03,0.378s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/p_MTD Spend Prorated""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:10:03,17-01-2024 16:10:03,0.334s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/p_MTD Spend Prorated""), ""MTD Spend Prorated"")",Chrome 120.0.0.0,,,17-01-2024 16:10:03,17-01-2024 16:10:03,0.381s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_Items per page""), 0)",Chrome 120.0.0.0,,,17-01-2024 16:10:03,17-01-2024 16:10:04,0.419s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_Items per page""), ""Items per page:"")",Chrome 120.0.0.0,,,17-01-2024 16:10:04,17-01-2024 16:10:04,0.387s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-12""))",Chrome 120.0.0.0,,,17-01-2024 16:10:04,17-01-2024 16:10:04,0.384s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow ng-tns-c110-12""))",Chrome 120.0.0.0,,,17-01-2024 16:10:04,17-01-2024 16:10:05,0.436s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_20""))",Chrome 120.0.0.0,,,17-01-2024 16:10:05,17-01-2024 16:10:05,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-12""))",Chrome 120.0.0.0,,,17-01-2024 16:10:05,17-01-2024 16:10:06,0.753s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_10""))",Chrome 120.0.0.0,,,17-01-2024 16:10:06,17-01-2024 16:10:07,0.569s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/div_mat-select-arrow-wrapper ng-tns-c110-12""))",Chrome 120.0.0.0,,,17-01-2024 16:10:07,17-01-2024 16:10:07,0.735s,PASSED
"click(findTestObject(""Object Repository/Page_MTD_Spend_Monitoring_Data/Page_/span_5""))",Chrome 120.0.0.0,,,17-01-2024 16:10:07,17-01-2024 16:10:08,0.566s,PASSED
