Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
performance_report,Chrome 120.0.0.0,,,18-01-2024 06:41:17,18-01-2024 07:12:05,30m - 48.221s,PASSED
,,,,,,,
Test Cases/Performance Report/test_verify_navigating_performance_report,Chrome 120.0.0.0,,,18-01-2024 06:41:17,18-01-2024 06:41:28,10.751s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Login""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 06:41:17,18-01-2024 06:41:24,6.391s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Verify_Navigating_Performance_Report/Page_/li_Performance""))",Chrome 120.0.0.0,,,18-01-2024 06:41:24,18-01-2024 06:41:26,2.239s,PASSED
"click(findTestObject(""Object Repository/Page_Verify_Navigating_Performance_Report/Page_/li_Performance""))",Chrome 120.0.0.0,,,18-01-2024 06:41:26,18-01-2024 06:41:26,0.463s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Verify_Navigating_Performance_Report/Page_/p_Performance Report""), ""Performance Report"")",Chrome 120.0.0.0,,,18-01-2024 06:41:26,18-01-2024 06:41:28,1.338s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weekly_buyer_cac_tab,Chrome 120.0.0.0,,,18-01-2024 06:41:28,18-01-2024 06:41:31,3.614s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Tab/Page_/div_Weekly Buyer CAC Report""), ""Weekly Buyer CAC Report"")",Chrome 120.0.0.0,,,18-01-2024 06:41:28,18-01-2024 06:41:28,0.459s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Tab/Page_/div_Weekly Buyer CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 06:41:28,18-01-2024 06:41:29,0.426s,PASSED
"click(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Tab/Page_/div_Weekly Buyer CAC Report""))",Chrome 120.0.0.0,,,18-01-2024 06:41:29,18-01-2024 06:41:29,0.488s,PASSED
delay(2),Chrome 120.0.0.0,,,18-01-2024 06:41:29,18-01-2024 06:41:31,2.054s,PASSED
,,,,,,,
Test Cases/Performance Report/test_weely_buyer_cac_calender,Chrome 120.0.0.0,,,18-01-2024 06:41:31,18-01-2024 06:43:44,2m - 13.086s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Weekly_Buyer_CAC_Calender/Page_/mat-icon_clear""))",Chrome 120.0.0.0,,,18-01-2024 06:41:32,18-01-2024 06:41:32,0.469s,PASSED
