Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Campaign_report,Chrome 120.0.0.0,,,18-01-2024 10:07:18,18-01-2024 10:25:07,17m - 49.109s,FAILED
,,,,,,,
Test Cases/Campaign Report/test_verify_navigating_campaign_report,Chrome 120.0.0.0,,,18-01-2024 10:07:18,18-01-2024 10:07:28,9.549s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Login""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 10:07:19,18-01-2024 10:07:24,5.141s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/li_Campaign""))",Chrome 120.0.0.0,,,18-01-2024 10:07:24,18-01-2024 10:07:26,1.983s,PASSED
"click(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/li_Campaign""))",Chrome 120.0.0.0,,,18-01-2024 10:07:26,18-01-2024 10:07:26,0.359s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/p_Campaign Analytics""), ""Campaign Analytics"")",Chrome 120.0.0.0,,,18-01-2024 10:07:26,18-01-2024 10:07:28,1.425s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Verify_Navigating_Campaign_Report/Page_/p_Campaign Analytics""), 0)",Chrome 120.0.0.0,,,18-01-2024 10:07:28,18-01-2024 10:07:28,0.346s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_cac_tab,Chrome 120.0.0.0,,,18-01-2024 10:07:28,18-01-2024 10:07:29,0.726s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Campaign_CAC_Tab/Page_/div_Campaign CAC""))",Chrome 120.0.0.0,,,18-01-2024 10:07:28,18-01-2024 10:07:28,0.322s,PASSED
"click(findTestObject(""Object Repository/Page_Campaign_CAC_Tab/Page_/div_Campaign CAC""))",Chrome 120.0.0.0,,,18-01-2024 10:07:28,18-01-2024 10:07:29,0.316s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_cac_calender,Chrome 120.0.0.0,,,18-01-2024 10:07:29,18-01-2024 10:08:36,1m - 7.290s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 10:07:29,18-01-2024 10:08:00,31.515s,PASSED
"click(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/svg_mat-datepicker-toggle-default-icon ng-s_f1b13c""))",Chrome 120.0.0.0,,,18-01-2024 10:08:00,18-01-2024 10:08:32,31.591s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 10:08:32,18-01-2024 10:08:33,0.894s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 10:08:33,18-01-2024 10:08:33,0.320s,PASSED
"click(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 10:08:33,18-01-2024 10:08:34,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/button_mat-focus-indicator mat-calendar-pre_09dfc7""))",Chrome 120.0.0.0,,,18-01-2024 10:08:34,18-01-2024 10:08:35,0.964s,PASSED
"click(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/div_1""))",Chrome 120.0.0.0,,,18-01-2024 10:08:35,18-01-2024 10:08:36,0.994s,PASSED
"click(findTestObject(""Object Repository/Page_campaign_CAC_Calender/Page_/div_30""))",Chrome 120.0.0.0,,,18-01-2024 10:08:36,18-01-2024 10:08:36,0.504s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_cac_verify_channel,Chrome 120.0.0.0,,,18-01-2024 10:08:36,18-01-2024 10:08:39,3.048s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Camapign_CAC_Verify_Channel/Page_/div_Select Channel""), 0)",Chrome 120.0.0.0,,,18-01-2024 10:08:36,18-01-2024 10:08:37,1.218s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Camapign_CAC_Verify_Channel/Page_/div_Select Channel""), ""Select Channel"")",Chrome 120.0.0.0,,,18-01-2024 10:08:37,18-01-2024 10:08:38,0.330s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Camapign_CAC_Verify_Channel/Page_/span_ng-arrow-wrapper""))",Chrome 120.0.0.0,,,18-01-2024 10:08:38,18-01-2024 10:08:38,0.331s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Channel_dropdown_verify""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 10:08:38,18-01-2024 10:08:39,1.034s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_cac_select_channel_dropdown,Chrome 120.0.0.0,,,18-01-2024 10:08:39,18-01-2024 10:10:20,1m - 40.791s,PASSED
"callTestCase(findTestCase(""Reusable_Functions/Select_Channel_dropdown""), [:], CONTINUE_ON_FAILURE)",Chrome 120.0.0.0,,,18-01-2024 10:08:39,18-01-2024 10:10:20,1m - 40.678s,PASSED
,,,,,,,
Test Cases/Campaign Report/test_campaign_cac_verify_businessline,Chrome 120.0.0.0,,,18-01-2024 10:10:20,18-01-2024 10:10:22,2.209s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Campaign_CAC_Verify_Businessline/Page_/div_Select Businessline""), 0)",Chrome 120.0.0.0,,,18-01-2024 10:10:20,18-01-2024 10:10:20,0.311s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Campaign_CAC_Verify_Businessline/Page_/div_Select Businessline""), ""Select Businessline"")",Chrome 120.0.0.0,,,18-01-2024 10:10:20,18-01-2024 10:10:21,0.297s,PASSED
